الرقم والاسم,الأساس الفلسفي,الخماسية الإجرائية الكاملة دون نقص,دور المعلم والمتعلم,الأداة التقنية,الأثر/المعيار,الالرقم والاسم
18. طريقة الرحلة التعليمية,التعلم الموقفي (Situated Learning),1. التهيئة والاستعداد: تحديد أهداف الرحلة، الأسئلة البحثية، وأدوات الملاحظة. 2. الملاحظة الميدانية: زيارة الموقع (واقعي أو افتراضي) وجمع البيانات الخام. 3. التفاعل مع المصدر: إجراء مقابلات مع خبراء الموقع أو فحص العينات مباشرة. 4. التجهيز والتحليل: العودة ومعالجة البيانات المجمعة وربطها بالمنهج. 5. التقرير الختامي: تقديم عرض يوضح كيف غيرت الرحلة من فهم المتعلم للمفهوم.,المعلم: قائد ميداني ومنسق وصول. المتعلم: راصد وباحث ميداني يجمع المعرفة من مصادرها الأصلية.,Google Earth VR,ربط المشاهدات الواقعية بالنظريات المجردة بوضوح ودقة.,
19. طريقة التعليم المبرمج,السلوكية (سكنر),1. تجزئة المحتوى: تقسيم المادة إلى وحدات صغيرة جداً (إطارات) متسلسلة. 2. الاستجابة النشطة: طرح سؤال بسيط بعد كل وحدة يتطلب حلاً فورياً. 3. التغذية الراجعة الفورية: معرفة المتعلم بصحة إجابته فوراً قبل الانتقال. 4. التقدم الذاتي: السير في البرنامج حسب سرعة المتعلم الخاصة (تفريد). 5. التقويم النهائي: اختبار شامل للتأكد من إتقان كافة الخطوات البرمجية.,المعلم: مصمم للبرنامج ومراقب تقدم. المتعلم: متعلم ذاتي يقود مساره الخاص بناءً على استجاباته.,Khan Academy,اجتياز كافة الوحدات البرمجية دون أخطاء جوهرية وبالسرعة الشخصية.,
20. طريقة الحقائب التعليمية,النظم (التعلم الذاتي),1. الاختبار القبلي: تحديد مستوى المتعلم قبل البدء لاختيار المسار المناسب. 2. تحديد الأهداف والأنشطة: يختار المتعلم من قائمة الأنشطة ما يناسب نمط تعلمه. 3. التنفيذ المستقل: العمل على المكونات (أوراق، وسائط، تجارب) المرفقة بالحقيبة. 4. التقويم البنائي: اختبارات ذاتية مرافقة لكل نشاط للتأكد من الفهم. 5. الاختبار البعدي: التحقق النهائي من تحقيق أهداف الحقيبة التعليمية كاملة.,المعلم: مرشد وموفر مصادر. المتعلم: مدير تعلمه الخاص يختار الوسائل ويدير وقته للإنهاء.,OneNote,تحقيق كافة الأهداف السلوكية للحقيبة بالاعتماد الكلي على النفس.,
21. طريقة القياس المنطقي,المنطق الصوري (أرسطو),1. تحديد المقدمة الكبرى: عرض القاعدة العامة الصادقة. 2. فحص المقدمة الصغرى: إيراد الحالة الخاصة المراد الحكم عليها. 3. ربط منطقي: إثبات اندراج الحالة الخاصة تحت القاعدة الكبرى. 4. استنتاج الحكم: صياغة النتيجة المترتبة منطقياً على المقدمتين. 5. برهان الصدق: التأكد من خلو القياس من المغالطات الصورية.,المعلم: ضابط للمنطق ومقدم مقدمات. المتعلم: مستدل منطقي يربط المقدمات بالنتائج.,Logos Logic App,خلو النتيجة من أي معلومة لم ترد في المقدمات (اللزوم المنطقي).,
22. طريقة التحليل المعرفي,المنطق التحليلي,1. تجزئة الكل: تفكيك المفهوم المعقد إلى عناصره الأولية البسيطة. 2. تصنيف العناصر: فرز المكونات حسب خصائصها (وظيفية، هيكلية). 3. بحث العلاقات: اكتشاف كيف يؤثر كل جزء في الأجزاء الأخرى. 4. ربط بالأسباب: تحديد العلة والمعلول لكل عنصر داخل النظام. 5. تقييم البنية: فحص مدى كفاية الأجزاء لتشكيل المفهوم الكلي.,المعلم: محلل نظم تعليمية. المتعلم: مفكك للبنى المعرفية ومكتشف للعلاقات البينية.,MindMeister,القدرة على تفسير الكل من خلال فهم خصائص الأجزاء المكونة له.,
23. طريقة التركيب المنطقي,المنطق التركيبي (التوليف),1. تجميع المكونات: حشد العناصر المشتتة أو المفاهيم البسيطة المرتبطة. 2. تأليف الروابط: إيجاد علاقات منطقية جديدة تجمع بين العناصر المشتتة. 3. بناء الهيكل: صياغة إطار كلي يجمع الأجزاء في وحدة واحدة متماسكة. 4. نمذجة المعنى: تحويل البناء الجديد إلى نموذج أو قاعدة كلية مفهومة. 5. اختبار الوحدة: فحص مدى تناغم الأجزاء داخل البناء الجديد الموحد.,المعلم: مهندس بناء معرفي. المتعلم: مؤلف ومولف يبني الكل من الأجزاء.,Canva Whiteboard,إنتاج كل جديد يتجاوز مجرد مجموع أجزائه (القيمة المضافة المعرفية).,
24. طريقة الوصف التعليمي,المنطق الظاهراتي (التصنيفي),1. ملاحظة الظاهرة: رصد الخصائص المادية والمنطقية للموضوع بدقة تامة. 2. تسمية السمات: إعطاء مصطلحات دقيقة لكل صفة مرصودة في الظاهرة. 3. تصنيف الرتب: وضع السمات في رتب منطقية (أساسية مقابل ثانوية). 4. مقارنة النماذج: إيجاد أوجه التشابه مع أوصاف لنماذج معرفية أخرى. 5. تعميم الوصف: صياغة تعريف جامع مانع للموضوع الموصوف بالكامل.,المعلم: واصف معياري ومصحح مصطلحات. المتعلم: راصد دقيق ومصنف لسمات الظواهر.,Google Lens,دقة المطابقة التامة بين الوصف اللفظي والخصائص الواقعية للموضوع.,
25. طريقة الاستجواب التقليدية,الجدل البسيط (الاستدعاء),1. استدعاء المعرفة: طرح أسئلة تنشط الذاكرة العاملة للمتعلم فورياً. 2. تفسير الاستجابة: مطالبة المتعلم بتبرير إجابته منطقياً أمام الفصل. 3. استرجاع الروابط: سؤال عن علاقة الإجابة الحالية بالدروس السابقة المرتبطة. 4. تصحيح المسار: تعديل المغالطات المنطقية في إجابة المتعلم بشكل فوري. 5. تثبيت اليقين: صياغة الإجابة النهائية كحقيقة منطقية ثابتة في الذهن.,المعلم: مستوجب وضابط محتوى. المتعلم: مستجيب نشط يبرهن على فهمه واستدعائه.,Socrative,سرعة ودقة الاستدعاء المنطقي السليم تحت ضغط التساؤل المباشر.,
26. طريقة التدريس المصغر,منطق التغذية الراجعة التكراري,1. تخطيط المهمة: تصميم موقف تعليمي صغير لمهارة واحدة محددة. 2. تنفيذ الأداء: تطبيق المهارة في زمن قياسي (بين 5 و10 دقائق). 3. تسجيل المخرجات: توثيق الأداء (فيديو أو ملاحظة) لتحويله لبيانات قابلة للتحليل. 4. تحليل الأخطاء: تفكيك الأداء لمقارنته بالمعيار المنطقي السليم للمهارة. 5. إعادة النمذجة: إعادة التنفيذ بناءً على نتائج التحليل للوصول للإتقان.,المعلم: محلل أداء ومقيم. المتعلم: مؤدٍ ومحلل ذاتي يسعى لصقل مهارته إجرائياً.,Edthena,تقليص الفجوة النوعية بين الأداء الفعلي والنموذج المعياري المستهدف.,
27. طريقة التعليم التعاوني,منطق الإدراك الموزع,1. توزيع الأدوار: تقسيم البنية المنطقية للمهمة على أعضاء الفريق بالتساوي. 2. تشارك المعلومات: تبادل المقدمات المنطقية والمصادر بين أفراد المجموعة. 3. تفاوض المعنى: الوصول لاتفاق جماعي مشفر حول صحة الاستدلالات المتبعة. 4. تكامل النتائج: دمج مخرجات الأفراد في استنتاج كلي موحد يمثل الفريق. 5. تقييم العمل: فحص مدى مساهمة كل جزء فردي في نجاح الكل الجماعي.,المعلم: مهندس اجتماعي ومراقب عمليات. المتعلم: مفاوض معرفي وعضو في عقل جمعي موحد.,Microsoft Teams,جودة المخرج الجماعي النهائي مقارنة بمجموع المخرجات الفردية المشتتة.,
28. طريقة الوحدات الدراسية,المنطق النسقي (Modularity),1. ربط موضوعات: إيجاد خيط منطقي يجمع دروساً متفرقة في وحدة واحدة. 2. تنسيق أهداف: ترتيب الأهداف تصاعدياً بناءً على منطق التراكم المعرفي. 3. جمع مصادر: حشد كل ما يدعم النسق الواحد الموحد للوحدة الدراسية. 4. تطبيق أنشطة: تنفيذ مهام تخدم الفكرة الكلية للوحدة بشكل حصري ومنظم. 5. إغلاق النسق: صياغة خلاصة نهائية تربط كافة أجزاء الوحدة ببعضها البعض.,المعلم: منسق نظم تعليمية. المتعلم: مدرك للعلاقات الكلية بين الدروس المتفرقة.,Google Classroom,وحدة الموضوع والهدف النهائي رغم تعدد الأجزاء والأنشطة الفرعية.,
29. طريقة التعيينات,منطق العمليات (Pragmatic Logic),1. ترجمة المهمة: تحويل الهدف التعليمي المجرد إلى تكليف إجرائي عملي واضح. 2. برمجة الوقت: وضع جدول زمني منطقي ومتسلسل لتنفيذ خطوات المهمة. 3. تنفيذ البحث: معالجة البيانات أو المصادر ميدانياً للوصول للمخرج المطلوب. 4. توثيق الخطوات: كتابة مسار العمل (Log) لضمان سلامة الإجراءات المتبعة. 5. تقديم المنتج: عرض المخرج النهائي كدليل مادي على إتمام العمليات المنطقية.,المعلم: ضابط جودة ومصمم تكليفات. المتعلم: منفذ عمليات وباحث مستقل يوثق مساره.,Notion,مدى مطابقة المخرج النهائي للمواصفات المنطقية الدقيقة الواردة في التكليف.,
30. طريقة التسميع الشفوي,منطق التحقق من الصدق (المطابقة),1. استرجاع بيانات: استحضار النصوص أو القواعد من الذاكرة البعيدة بدقة. 2. نطق بالمعيار: أداء المعلومة لفظياً وفق معايير النطق السليم (المطابقة). 3. تصحيح انحراف: رصد أي خطأ في النص المسترجع وتعديله فورياً ومباشرة. 4. تكرار الربط: إعادة التسميع لضمان ثبات الوصلات العصبية للمعلومة في الذهن. 5. تأكيد إتقان: إصدار حكم نهائي بجهوزية المعلومة للاستخدام المستقبلي الفعال.,المعلم: مدقق ومقيم جودة استرجاع. المتعلم: مستظهر دقيق يسعى للمطابقة التامة مع الأصل.,Quizlet,المطابقة التامة والنهائية بين المخزن ذهنياً والمنطوق لفظياً أمام المعلم.,
31. المحاكاة الحاسوبية,التعلم الموقفي الافتراضي,1. ضبط متغيرات: تحديد القيم الأولية للنظام الرقمي المراد محاكاته بدقة. 2. انغماس تفاعلي: دخول الطالب في البيئة الرقمية وبدء عملية التشغيل النشط. 3. تجريب نشط: تعديل المتغيرات يدوياً ورصد ردود فعل النظام الرقمي لحظياً. 4. تحليل مسار: مراجعة سجل الأخطاء والقرارات المتخذة أثناء الجلسة الافتراضية. 5. استخلاص نموذج: بناء قاعدة معرفية ثابتة بناءً على نتائج التجريب الرقمي.,المعلم: مهندس بيئة وموجه تقني. المتعلم: مجرب في بيئة آمنة وصانع قرار افتراضي.,Unity / PhET,اتخاذ القرار التقني السليم والمنطقي في بيئات متغيرة ومعقدة.,
32. دراسة الحالة,الوفاء السياقي (Contextual Fidelity),1. تهيئة بالبيانات: عرض ملف الحالة متضمناً كافة التفاصيل والظروف المحيطة. 2. تشخيص ميداني: فرز المعلومات وتحديد المشكلة الجوهرية الكامنة في الحالة. 3. تجريب ذهني: طرح حلول بديلة ومناقشة جدواها بناءً على المعطيات المتاحة. 4. ملاحظة تحليلية: فحص الحالات المشابهة السابقة وربطها بالحالة الراهنة. 5. استخلاص حل: صياغة التوصية النهائية وبرهنة جودتها إجرائياً ومنطقياً.,المعلم: مقدم سيناريوهات وميسر تحليل. المتعلم: محلل حالات ومشخص للمشكلات المعقدة.,CaseStudy Hub,القدرة الفائقة على حل المشكلات الإدارية والطبية والاجتماعية الواقعية.,
33. المسح الميداني,التعلم الميداني الواقعي,1. تصميم أداة: بناء الاستبيانات أو بطاقات الملاحظة العلمية بدقة منهجية. 2. انغماس ميداني: النزول الفعلي لموقع الظاهرة (سوق، غابة، مستشفى) للرصد. 3. جمع بيانات: إجراء المقابلات المباشرة والرصد الفعلي للعينات الميدانية. 4. ملاحظة إحصائية: تبويب البيانات المجمعة وتحليلها لاستخراج الأنماط المتكررة. 5. خبرة تقريرية: عرض نتائج المسح وتوصياته النهائية للمجتمع الأكاديمي.,المعلم: موجه منهجي وضابط جودة جمع. المتعلم: باحث ميداني وراصد للبيانات الخام من الواقع.,ArcGIS QuickCapture,التمكن من البحث العلمي الميداني والقدرة على جمع البيانات الأصيلة.,
34. التفكير الناقد,المنطق التقييمي,1. عرض ادعاء: تقديم فكرة أو معلومة مشكوك في صحتها أو منحازة للفحص. 2. انغماس في الفحص: تحليل مكونات الادعاء والبحث عن التحيزات الكامنة فيه. 3. تجريب منطقي: اختبار قوة الحجج المقدمة عبر البحث عن أدلة مضادة قوية. 4. ملاحظة نقدية: تقييم جودة المصادر وموثوقية البيانات التي يستند إليها الادعاء. 5. استخلاص حكم: إصدار قرار نهائي بالقبول أو الرفض بناءً على البرهان العقلي.,المعلم: مستفز فكرياً ومقيم حجج. المتعلم: ناقد فاحص ومميز بين الحقائق والآراء الشخصية.,Kialo Edu,التمييز الدقيق بين الحقيقة والانحياز والوصول للنزاهة الفكرية التامة.,
35. المختبر الجاف (Dry Lab),الاستدلال الرقمي القائم على البيانات,1. تهيئة معلوماتية: استلام نتائج تجارب حقيقية سابقة جاهزة للفحص والتحليل. 2. انغماس في البيانات: معالجة الأرقام والجداول الضخمة دون إجراء مادي مباشر. 3. تجريب تحليلي: اختبار الفرضيات العلمية عبر النمذجة الإحصائية المتقدمة للبيانات. 4. ملاحظة استنتاجية: اكتشاف العلاقات بين المتغيرات من خلال تحليل مخرجات النتائج. 5. استخلاص قانون: صياغة القاعدة العلمية النهائية بناءً على تحليل البيانات المعملية.,المعلم: مزود بيانات وموجه استنتاج. المتعلم: محلل بيانات ضخمة ومستنتج للقوانين الرياضية.,Jupyter Notebooks,إتقان تحليل البيانات الضخمة (Big Data) والاستدلال الرقمي السليم.,
36. طريقة دالتون (العقود),الوفاء الإجرائي والمسؤولية,1. صياغة عقد: اتفاق رسمي بين المعلم والطالب على مهام محددة زمنياً بدقة. 2. تهيئة ذاتية: توفير كافة المصادر والكتب اللازمة للطالب ليعمل بشكل مستقل. 3. تجريب إجرائي: تنفيذ المهام المطلوبة حسب وتيرة الطالب الخاصة داخل الجدول. 4. ملاحظة تتبعية: توثيق التقدم المحرز في (سجل العمل اليومي) الخاص بالطالب. 5. استخلاص إنجاز: تقييم نهائي للمخرجات مقابل البنود الأصلية الواردة في العقد.,المعلم: ضابط عقود وموفر مصادر. المتعلم: متعلم مستقل ومسؤول عن إدارة وقته وإنجازه.,Trello,إتقان مهارات إدارة الوقت وتحمل المسؤولية الشخصية الكاملة عن التعلم.,
