الرقم والاسم,النظرية التربوية,الخماسية الإجرائية الكاملة,الأداة التقنية,معيار النجاح/الأثر
18. لعب الأدوار (Role Playing),الاجتماعية الوجدانية,1. اختيار الموقف: تحديد المشهد والشخصيات المراد تمثيلها. 2. تجهيز المسرح: تحديد الأدوار وتوزيعها على الطلاب. 3. التمثيل: أداء المشهد بعفوية أو بناءً على سيناريو. 4. إيقاف المشهد: نقاش جماعي حول المشاعر والقرارات. 5. إعادة التمثيل: تجربة سيناريو بديل بناءً على النقاش.,Zoom Virtual Backgrounds,تنمية التعاطف والذكاء الاجتماعي وحل النزاعات
19. التعلم المدمج (Blended Learning),النظرية الاتصالية (Siemens),1. التخطيط: تحديد ما سيدرس حضورياً وما سيدرس رقمياً. 2. الإطلاق الرقمي: رفع المواد التفاعلية على المنصة. 3. اللقاء الحضوري: تخصيص الوقت للنقاش والتطبيق المعملي. 4. الربط: التأكد من تكامل النشاطين (الرقمي والواقعي). 5. التحقق: تقييم نهائي يجمع بين المسارين.,Moodle / Canvas,مرونة عالية في التعلم وتراعي الفروق الفردية
20. العصف الذهني (Brainstorming),النظرية الإبداعية (أوزبورن),1. طرح المشكلة: تحديد سؤال يحتاج لحلول مبتكرة. 2. توليد الأفكار: منع النقد تماماً (الكم قبل الكيف). 3. التدوين: تسجيل كل فكرة مهما كانت غريبة. 4. التنقيح: فرز الأفكار ودمج المتشابه منها. 5. التقييم: اختيار الحل الأمثل بناءً على معايير محددة.,Stormboard,كسر حواجز الخوف من الفشل في التفكير الإبداعي
21. حل المشكلات بطريقة IDEAL,علم النفس المعرفي / التنظيم المنهجي,1. يحدد (Identify): رصد المشكلة الجوهرية وفصلها عن الأعراض. 2. يعرف (Define): وضع حدود دقيقة للمشكلة وأهداف الحل. 3. يستكشف (Explore): فحص البدائل والاستراتيجيات الممكنة. 4. ينفذ (Act): تطبيق الحل وتوقع النتائج. 5. يتأمل (Look back): تقييم كفاءة المسار الذهني المتبع.,MindNode,ينتقل الطالب لدور المحلل عندما يبدأ بتسمية العوائق قبل البدء
22. التعلم التنافسي (Competitive Learning),الاستثارة العصبية وتوجيه الانتباه,1. يدرك (Perceive): فهم معايير الفوز وقواعد اللعبة التعليمية. 2. يقارن (Compare): تحليل مستواه الحالي مقارنة بالأقران. 3. يخطط (Plan): بناء استراتيجية تفوق بناءً على نقاط قوته. 4. ينافس (Execute): معالجة المعلومات تحت ضغط زمني. 5. يصحح (Correct): تعديل الأداء بناءً على نتائج الجولة السابقة.,Kahoot!,ناجح عندما يحول الطالب تركيزه لتجويد الأداء الشخصي
23. الأسئلة السابرة (Probing Questions),التقييم المعرفي العميق,1. يستدعي (Recall): استحضار الإجابة الأولية السطحية. 2. يحلل (Analyze): تفكيك إجابته للبحث عن ثغرات منطقية. 3. يبرر (Justify): تقديم أدلة تدعم صحة الادعاء. 4. يربط (Connect): إيجاد علاقات بين إجابته ومفاهيم أوسع. 5. يعيد صياغة (Refine): إنتاج إجابة نهائية محكمة ومنطقية.,Flip,ينتقل لدور المحلل عندما يبدأ بطرح أسئلة سابرة على نفسه
24. التعلم بالتعاقد (Contract Learning),التنظيم الذاتي (Self-Regulation),1. يقدر (Estimate): تقييم قدراته الشخصية والوقت المتاح. 2. يصيغ (Formulate): تحديد أهداف تعليمية قابلة للقياس. 3. يلتزم (Commit): بناء مخطط إلزامي للتعلم الذاتي. 4. يراقب (Monitor): تتبع التقدم المحرز بشكل دوري. 5. يقيم (Evaluate): إصدار حكم ذاتي على جودة النتائج النهائية.,Notion,النجاح هو قدرة الطالب على تعديل خطته ذاتياً عند التعثر
25. دورة التعلم الخماسية (5Es Model),البنائية (إعادة البناء المعرفي),1. يندمج (Engage): ربط المثيرات الجديدة بالمخططات السابقة. 2. يستكشف (Explore): معالجة المفاهيم عبر التجربة الحسية. 3. يفسر (Explain): صياغة المصطلحات والمفاهيم لغوياً. 4. يتوسع (Elaborate): نقل المفهوم لمواقف جديدة ومعقدة. 5. يقوم (Evaluate): مراجعة التغيير في بنيته المعرفية.,Nearpod,النجاح هو تفسير الظاهرة بلغة الطالب الخاصة لا الحفظ
26. التعلم المصغر (Micro-learning),التركيز الانتقائي (معالجة المعلومات),1. يجزئ (Chunk): تفكيك المفهوم الضخم إلى وحدات صغرى. 2. يركز (Focus): معالجة معلومة واحدة مكثفة في وقت قصير. 3. يرمز (Encode): ربط الوحدة المصغرة بصورة أو رمز ذهني. 4. يطبق (Apply): ممارسة فورية للمفهوم المصغر. 5. يخزن (Store): نقل المعلومة للذاكرة طويلة المدى.,7Taps,عندما يستطيع الطالب شرح مفهوم معقد عبر وحدات بسيطة
27. الذكاءات المتعددة (Multiple Intelligences),المعالجة المتوازنة (جاردنر),1. يصنف (Classify): تحديد نوع الذكاء الأنسب للمهمة الحالية. 2. ينوع (Diversify): تمثيل المعلومة بصور مختلفة (بصري، حركي). 3. يدمج (Integrate): ربط الذكاء القوي بدعم الذكاء الضعيف لديه. 4. يبدع (Create): إنتاج مخرج تعليمي يعكس تميزه الخاص. 5. يقدر (Appreciate): فهم التنوع المعرفي بينه وبين أقرانه.,Canva,عندما يختار الطالب بنشاط الطريقة التي تناسبه للدراسة
28. الاستقصاء العلمي (Scientific Inquiry),التفكير الاستدلالي (Inferential Thinking),1. يلاحظ (Observe): رصد أنماط غير مفسرة في البيئة. 2. يفترض (Hypothesize): بناء تفسيرات مؤقتة قابلة للاختبار. 3. يختبر (Test): تصميم إجراءات لعزل المتغيرات والتحقق. 4. يستنتج (Conclude): استخلاص القوانين من البيانات الخام. 5. يعمم (Generalize): تطبيق القانون على فئات مشابهة.,Vernier Graphical Analysis,النجاح هو رفض الطالب لأي معلومة لا تستند لدليل تجريبي
29. الاستقراء (Inductive Strategy),بناء القواعد (Rule Induction),1. يفحص (Examine): دراسة حالات جزئية وأمثلة متعددة. 2. يحلل (Analyze): البحث عن القواسم المشتركة بين الأمثلة. 3. يجرّد (Abstract): عزل الصفات غير الجوهرية عن الأساسية. 4. يصيغ (Formulate): كتابة القاعدة العامة (من الخاص للعام). 5. يتحقق (Verify): اختبار القاعدة على مثال جديد.,Quizlet,عندما يتوقف الطالب عن سؤال ما هي القاعدة؟ ويبدأ بتوليدها
30. الاستنتاج (Deductive Strategy),التفكير التجمعي (Convergent Thinking),1. يستوعب (Comprehend): فهم القاعدة الكلية أو القانون العام. 2. يسقط (Apply): إنزال القاعدة على حالة خاصة معينة. 3. يستدل (Reason): التأكد من انطباق شروط القاعدة على الحالة. 4. يتوقع (Predict): تخمين النتيجة بناءً على منطق القاعدة. 5. يبرهن (Prove): تقديم الدليل المنطقي على صحة النتيجة.,Wolfram Alpha,رفض تطبيق قاعدة في سياق لا تتوفر فيه شروطها المنطقية
31. الرحلات المعرفية (WebQuests),التعلم الموقفي (سياق الويب),1. الاستكشاف: استقبال المهمة والمصادر. 2. البحث: جمع البيانات من روابط موثوقة. 3. المعالجة: تحليل المعلومات لتركيب حل. 4. الإنتاج: تصميم عرض تقديمي أو تقرير. 5. النشر: عرض النتائج على منصة تعليمية.,Zunal WebQuest Maker,ملف إنجاز رقمي (Portfolio) أو حل لمشكلة عالمية
32. التعلم بالأقران (Peer Tutoring),البنائية الاجتماعية (بيئة تفاعلية),1. الاكتشاف: تحديد الفجوات المعرفية لدى القرين. 2. البحث: استراتيجيات شرح مبسطة للمفاهيم. 3. المعالجة: الحوار الثنائي وتصحيح المفاهيم. 4. الإنتاج: حل تمارين مشتركة أو ورقة عمل. 5. النشر: تقرير نمو المتعلم وشهادة المعلم.,Peergrade,خريطة نمو توضح تطور مستوى القرين وتحمله للمسؤولية
33. المعمل الافتراضي (Virtual Lab),المحاكاة التقنية الغامرة,1. الاكتشاف: التعرف على الأدوات والمتغيرات. 2. البحث: صياغة الفرضيات العلمية. 3. المعالجة: إجراء التجربة الافتراضية بدقة. 4. الإنتاج: رسم بياني للنتائج المستخلصة. 5. النشر: مشاركة تقرير المختبر الرقمي.,Labster,تقرير تجريبي علمي موثق بالبيانات من بيئة آمنة
34. التعلم القائم على الخدمة (Service Learning),البنائية (بيئة مجتمعية واقعية),1. الاكتشاف: رصد حاجة حقيقية في المجتمع المحيط. 2. البحث: دراسة الحلول الممكنة والموارد المتاحة. 3. المعالجة: تنفيذ النشاط الخدمي (مثلاً تشجير). 4. الإنتاج: مخرجات ملموسة (بيئة محسنة). 5. النشر: حملة توعية أو فيديو توثيقي للعمل.,VolunteerMatch,خطة عمل مجتمعية منفذة وتوثيق للأثر النفعي
35. استراتيجية SCAMPER,التفكير الإبداعي (بيئة ابتكار),1. الاكتشاف: اختيار منتج أو فكرة للتطوير. 2. البحث: تطبيق أسئلة سكامبر (بدل، ادمج...). 3. المعالجة: تحليل الجدوى لكل تعديل مقترح. 4. الإنتاج: نموذج أولي (Prototype) لفكرة مطورة. 5. النشر: براءة اختراع تعليمية مصغرة.,Miro,نموذج لمنتج مبتكر أو فكرة مطورة كلياً وقابلة للتطبيق
36. خرائط التفكير (Thinking Maps),المعرفة البصرية (بيئة تنظيمية),1. الاكتشاف: تحديد نوع العملية الذهنية (مقارنة، تصنيف). 2. البحث: استخراج المفاهيم من المحتوى. 3. المعالجة: ربط المفاهيم بالخريطة البصرية المناسبة. 4. الإنتاج: مخطط بصري متكامل للعلاقات. 5. النشر: جولة معرض (Gallery Walk) للخرائط.,Thinkmap,لوحة بصرية تلخص بنية المعرفة المعقدة والروابط المنطقية
37. التعلم التخيلي (Imaginative Learning),التعلم الوجداني (بيئة فنية),1. الاكتشاف: استحضار صورة ذهنية لحدث تاريخي/علمي. 2. البحث: جمع تفاصيل حسية (أصوات، روائح، مشاعر). 3. المعالجة: كتابة سيناريو أو قصة من الداخل. 4. الإنتاج: نص إبداعي أو عمل فني تجسيدي. 5. النشر: قراءة قصصية أو تمثيل مسرحي.,StoryJumper,قصة شاهد عيان أو لوحة تعبيرية تعكس الفهم العميق
38. التعلم بالإتقان (Mastery Learning),التعلم الذاتي (بيئة مستقلة),1. الاكتشاف: تحديد المعايير المطلوبة للإتقان. 2. البحث: دراسة الوحدات التعليمية بشكل مستقل. 3. المعالجة: اجتياز اختبارات قصيرة (Checkpoints). 4. الإنتاج: إثبات المهارة في مهمة تطبيقية. 5. النشر: مساعدة زملاء آخرين في نفس الوحدة.,Khan Academy,شهادة كفاءة أو شارة إتقان المهارة المحددة مسبقاً
39. رؤوس مرقمة (Numbered Heads),التعلم التعاوني (بيئة تنافسية),1. الاكتشاف: توزيع الأرقام والمهام داخل المجموعة. 2. البحث: مناقشة جماعية لضمان فهم الكل. 3. المعالجة: تأكد كل رقم من قدرته على الإجابة. 4. الإنتاج: صياغة إجابة موحدة للفريق. 5. النشر: تقديم الإجابة عندما يتم اختيار الرقم عشوائياً.,ClassDojo,استجابة فورية متفق عليها تمثل الفريق بكل أفراده
40. التدريس المتمايز (Differentiated Instruction),الشمولية (بيئة مرنة متعددة المستويات),1. الاكتشاف: تقييم قبلي للمستويات والاهتمامات. 2. البحث: توفير مصادر متنوعة (نص، صوت، فيديو). 3. المعالجة: اختيار الطالب للمسار الذي يناسبه. 4. الإنتاج: مخرج تعليمي متنوع (مقال، مجسم، رسم). 5. النشر: معرض للمخرجات المتنوعة لنفس الهدف.,Google Classroom,منتجات متعددة الأشكال تحقق نفس المعايير الأكاديمية
41. حل المشكلات المستقبلية (FPS),الاستباق الذهني (Prefrontal Cortex),1. يستشرف: تحليل التوجهات الحالية وتوقع مآلاتها. 2. يحدد: رصد التحدي الجوهري في سيناريو مستقبلي. 3. يولد: إنتاج أفكار حلول غير تقليدية. 4. ينتقي: تطبيق مصفوفة معايير لاختيار الحل الأمثل. 5. يطور: صياغة خطة عمل قابلة للتنفيذ مستقبلاً.,Futures Platform,بناء سيناريو بديل منطقي لم يكن موجوداً في المعطيات
42. التعلم القائم على الدماغ (BBL),الارتباط الكيميائي الحيوي واللدونة,1. يؤمن: خلق بيئة صفية آمنة (خفض الكورتيزول). 2. يستثير: استخدام مغيرات الحالة (حركة، موسيقى) لتنشيط الدماغ. 3. يربط: دمج المعلومات الجديدة بخبرات حسية. 4. يعالج: منح وقت كافي للتأمل (Incubation). 5. يثبت: ممارسة مهارات متنوعة لتقوية التشابكات.,GoNoodle,انتقال التعلم من الحالة الاندفاعية إلى حالة التدفق
43. التعلم السريع (Accelerated Learning),تكامل الفصين (Hemispheric Integration),1. يهيئ: تقنيات استرخاء لتنشيط موجات ألفا الدماغية. 2. يقدم: عرض المحتوى بصرياً وسمعياً وحركياً. 3. يفعل: إشراك الطالب في أنشطة تطبيقية فورية. 4. يثبت: استخدام الألعاب والمحاكاة لترسيخ المعلومة. 5. يراجع: ملخصات بصرية (خرائط ذهنية) سريعة.,Anki,استرجاع كمية كبيرة من المعلومات بجهد ذهني منخفض
44. التساؤل الذاتي (Self-Questioning),مراقبة الميتا-معرفية (Metacognition),1. يتوقف: كبح الاندفاع التلقائي أثناء القراءة. 2. يتساءل: طرح أسئلة (ماذا أفهم الآن؟ ماذا ينقصني؟). 3. يفحص: مقارنة فهمه الحالي بالأهداف المنشودة. 4. يعدل: تغيير استراتيجية القراءة أو الدراسة. 5. يؤكد: الإجابة على التساؤلات الذاتية لغلق الحلقة.,Hypothesis,تحول الطالب من قارئ سلبي إلى مراقب لنشاطه الذهني
45. التعلم الواقعي (Authentic Learning),الارتباط السياقي (Contextual Encoding),1. يواجه: تقديم مهمة ذات صلة بالحياة الواقعية. 2. يبحث: استخدام أدوات مهنية حقيقية (بيانات، برامج). 3. يتعاون: العمل في فرق تحاكي بيئة العمل. 4. ينتج: تقديم مخرج له قيمة نفعية خارج الصف. 5. يعكس: تقييم الأثر الفعلي للمنتج في سياقه.,LinkedIn Learning,إدراك القيمة النفعية للمعلومة مما يحفز التخزين الدائم
46. النمذجة الرياضية,التجريد والتمثيل الرمزي,1. يبسط: تحويل ظاهرة واقعية إلى نظام رياضي. 2. يرمز: اختيار المتغيرات والعلاقات المنطقية. 3. يحل: معالجة النموذج رياضياً للوصول لنتائج. 4. يفسر: إعادة ترجمة النتائج الرياضية إلى لغة الواقع. 5. يتحقق: اختبار مدى دقة النموذج في التنبؤ.,GeoGebra,القدرة على رؤية الأنماط الرياضية في الفوضى الواقعية
47. الحوار السقراطي,الزعزعة المعرفية (Cognitive Dissonance),1. يستدرج: طرح سؤال يبدو بسيطاً لاستخراج قناعة. 2. يشكك: إظهار التناقض في الإجابة عبر أمثلة مضادة. 3. يحلل: تفكيك الافتراضات الكامنة خلف الرأي. 4. يعيد بناء: صياغة تعريف أكثر دقة وشمولية. 5. يعمم: اختبار التعريف الجديد في سياقات مختلفة.,Parlay,حالة الارتباك المنتج التي تسبق إعادة تنظيم المعرفة
48. التلخيص التوليدي,إعادة الترميز (Recoding),1. ينتقي: استخلاص الأفكار الجوهرية من المحتوى. 2. يترجم: صياغة المعنى بكلمات الطالب الخاصة. 3. يربط: دمج الملخص مع الأفكار السابقة. 4. يختصر: تقليل الحمل المعرفي عبر التكثيف. 5. ينتج: ابتكار شكل جديد للمعلومة (رسم، فقرة).,Otter.ai,تجاوز الملخص للنقل الحرفي إلى صناعة المعنى الشخصي
49. الاستقصاء الاجتماعي,تفعيل الدماغ الاجتماعي (Social Brain),1. يرصد: ملاحظة مشكلة أو ظاهرة اجتماعية. 2. يجمع: إجراء مقابلات أو استطلاعات رأي. 3. يصنف: تنظيم الآراء والمواقف المجتمعية. 4. يناقش: بناء حوار جماعي حول الأسباب والحلول. 5. يقترح: صياغة توصيات لتحسين الموقف الاجتماعي.,SurveyMonkey,تنشيط مناطق التعاطف واتخاذ القرار الجماعي
50. البطاقات المروحية,الاسترجاع النشط والتفاعل الحركي,1. يوزع: تقسيم الأدوار (حامل، سائل، مجيب، مصحح). 2. يختار: سحب بطاقة عشوائية (عنصر المفاجأة). 3. يجيب: استدعاء المعلومة تحت ضغط اجتماعي خفيف. 4. يدقق: مراجعة الإجابة فورياً من قبل القرين. 5. يدور: تبادل الأدوار لتنشيط الذاكرة.,Quizlet Live,تحفيز الدوبامين عبر توقع المكافأة والنجاح الاجتماعي
51. التعلم عبر التصميم (Learning by Design),البنائية (Constructivism),1. يتعاطف: فهم احتياجات المستخدم/المشكلة. 2. يخطط: رسم المخططات الأولية للحل. 3. يبني: صنع نموذج أولي (Prototype) ملموس. 4. يختبر: تجربة النموذج ورصد العيوب. 5. يطور: تحسين التصميم بناءً على النتائج.,Tinkercad,تنمية مهارات التفكير التصميمي وحل المشكلات الهندسية
52. الكرسي الساخن (Hot Seat),التعلم الاجتماعي (Social Learning),1. يتقمص: اختيار طالب لشخصية (تاريخية/علمية). 2. يستعد: قراءة مكثفة عن خلفية الشخصية ودوافعها. 3. يواجه: الجلوس في المركز لتلقي أسئلة الأقران. 4. يرتجل: الإجابة بناءً على منطق الشخصية لا الطالب. 5. يحلل: نقاش جماعي بعد العرض حول أداء الشخصية.,Virtual Backgrounds,تعزيز الذكاء العاطفي والقدرة على تبني وجهات نظر الآخرين
53. التعلم النشط بأسلوب LQA,المعرفية (Cognitivism),1. ينصت: استماع نشط لمقطع أو شرح مركز. 2. يتساءل: صياغة أسئلة بحثية حول ما سمعه. 3. يجيب: الإجابة عن أسئلة الزملاء بناءً على النص. 4. ينقد: تقييم دقة الإجابات المتداولة. 5. يلخص: صياغة خريطة ذهنية نهائية للمحتوى.,InsertLearning,تحسين مهارات الاسترجاع السريع والتفكير الناقد
54. التدريس المباشر (Direct Instruction),السلوكية (Behaviorism),1. ينمذج: عرض المعلم للمهارة بوضوح تام. 2. يوجه: ممارسة جماعية تحت إشراف المعلم. 3. يدرب: ممارسة مستقلة من الطلاب للمهارة. 4. يصحح: تقديم تغذية راجعة فورية للأخطاء. 5. يتمكن: اختبار نهائي لقياس مستوى الإتقان.,Canvas LMS,إتقان المهارات الأساسية بفعالية وانضباط معرفي
55. التعلم المعتمد على الأدلة,الواقعية العلمية (Realism),1. يفترض: صياغة ادعاء علمي أو تاريخي. 2. يجمع: البحث عن أدلة (بيانات، نصوص، وثائق). 3. يفحص: تقييم موثوقية وقوة كل دليل. 4. يبرهن: بناء حجة منطقية تربط الدليل بالادعاء. 5. يستنتج: قبول أو رفض الفرضية الأصلية.,Google Scholar / ERIC,تعزيز النزاهة الأكاديمية والثقافة المعلوماتية
56. شبكة الأسئلة (Question Net),البنائية الاجتماعية,1. يطرح: وضع سؤال مركزي في وسط الشبكة. 2. يتفرع: توليد أسئلة فرعية من السؤال الأصلي. 3. يربط: إيجاد علاقات منطقية بين الأسئلة المختلفة. 4. يستقصي: توزيع المجموعات للبحث عن إجابات. 5. ينسج: بناء لوحة إجابات متكاملة ومترابطة.,Padlet,تطوير التفكير النظمي والعمل الجماعي التشاركي
57. التعلم المتنقل (Mobile Learning),النظرية الاتصالية (Connectivism),1. ينفذ: الوصول للمحتوى في سياقات غير مدرسية. 2. يوثق: التقاط صور/فيديو لظواهر واقعية مرتبطة. 3. يتصل: مشاركة المكتشفات فورياً مع الأقران. 4. يعالج: استخدام تطبيقات الجوال لتحليل البيانات. 5. ينجز: تسليم المهمة عبر المنصة السحابية.,SkyView AR,تحقيق المرونة الرقمية والتعلم المستمر مدى الحياة
58. التفكير بصوت عالٍ (Think-Aloud),ما وراء المعرفة (Metacognition),1. يختار: تحديد مشكلة صعبة أو نص معقد. 2. يسرد: نطق كل فكرة تخطر بباله أثناء الحل. 3. يرصد: تحديد لحظات الارتباك أو الفهم الخاطئ. 4. يصحح: تعديل المسار الذهني علانية أمام الزملاء. 5. يعمم: استخلاص استراتيجية تفكير للمشكلات المشابهة.,Loom / Video Record,زيادة الوعي الذاتي بمهارات حل المشكلات
